;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2051;1128
1;bird.pgm;5082;256;256;65536;329;152
2;boat.pgm;38628;512;512;262144;2477;923
3;bridge.pgm;14330;256;256;65536;535;266
4;camera.pgm;10885;256;256;65536;496;179
5;frog.pgm;30237;621;498;309258;1105;534
6;goldhill.pgm;43000;512;512;262144;1878;929
7;house.pgm;9851;256;256;65536;493;192
8;lena.pgm;31643;512;512;262144;1909;981
9;mandrill.pgm;60239;512;512;262144;2870;1257
10;mountain.pgm;46405;640;480;307200;1321;727
11;naturel.pgm;129684;1600;1200;1920000;17488;8450
12;peppers.pgm;34122;512;512;262144;2104;969
13;piscine.pgm;1034825;3072;2304;7077888;84506;42808
14;sat.pgm;249604;1297;1381;1791157;15481;6912
15;washsat.pgm;17186;512;512;262144;193;183
16;zelda.pgm;24674;512;512;262144;1740;1101
