;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2056;1123
1;bird.pgm;5082;256;256;65536;332;149
2;boat.pgm;38628;512;512;262144;2481;933
3;bridge.pgm;14330;256;256;65536;536;251
4;camera.pgm;10885;256;256;65536;494;172
5;frog.pgm;30237;621;498;309258;1107;526
6;goldhill.pgm;43000;512;512;262144;1889;935
7;house.pgm;9851;256;256;65536;495;189
8;lena.pgm;31643;512;512;262144;1926;992
9;mandrill.pgm;60239;512;512;262144;2852;1254
10;mountain.pgm;46405;640;480;307200;1328;725
11;naturel.pgm;129684;1600;1200;1920000;17515;9075
12;peppers.pgm;34122;512;512;262144;2124;979
13;piscine.pgm;1034825;3072;2304;7077888;85055;47387
14;sat.pgm;249604;1297;1381;1791157;15502;7663
15;washingtonDC.pgm;4675640;8218;2700;22188600;287655;236824
16;washsat.pgm;17186;512;512;262144;191;182
17;zelda.pgm;24674;512;512;262144;1727;1089
