;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2147;1109
1;bird.pgm;5082;256;256;65536;328;147
2;boat.pgm;38628;512;512;262144;2477;920
3;bridge.pgm;14330;256;256;65536;531;249
4;camera.pgm;10885;256;256;65536;490;175
5;frog.pgm;30237;621;498;309258;1106;533
6;goldhill.pgm;43000;512;512;262144;1881;949
7;house.pgm;9851;256;256;65536;490;189
8;lena.pgm;31643;512;512;262144;1908;975
9;mandrill.pgm;60239;512;512;262144;2843;1262
10;mountain.pgm;46405;640;480;307200;1325;717
11;naturel.pgm;129684;1600;1200;1920000;17495;9150
12;peppers.pgm;34122;512;512;262144;2108;967
13;piscine.pgm;1034825;3072;2304;7077888;84818;48245
14;sat.pgm;249604;1297;1381;1791157;15438;7593
15;washingtonDC.pgm;4675640;8218;2700;22188600;286241;235386
16;washsat.pgm;17186;512;512;262144;192;183
17;zelda.pgm;24674;512;512;262144;1730;1088
