;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2227;1453
1;bird.pgm;5082;256;256;65536;368;160
2;boat.pgm;38628;512;512;262144;2771;1118
3;bridge.pgm;14330;256;256;65536;622;280
4;camera.pgm;10885;256;256;65536;569;198
5;frog.pgm;30237;621;498;309258;1217;617
6;goldhill.pgm;43000;512;512;262144;2139;1109
7;house.pgm;9851;256;256;65536;580;205
8;lena.pgm;31643;512;512;262144;2238;1174
9;mandrill.pgm;60239;512;512;262144;3256;1542
10;mountain.pgm;46405;640;480;307200;1624;852
11;naturel.pgm;129684;1600;1200;1920000;20216;10425
12;peppers.pgm;34122;512;512;262144;2465;1199
13;piscine.pgm;1034825;3072;2304;7077888;98336;55105
14;sat.pgm;249604;1297;1381;1791157;16377;7920
15;washsat.pgm;17186;512;512;262144;204;189
16;zelda.pgm;24674;512;512;262144;1791;1126
